=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.14 11:03:16 =~=~=~=~=~=~=~=~=~=~=~=
Adafruit BMP388 / BMP390 test
Temp(C),Press(kPa),CalculatedAlt(m)
96.69,22.15,102.02,-57.70
96.81,22.15,102.02,-57.68
96.94,22.15,102.02,-57.67
97.06,22.15,102.02,-57.68
97.18,22.15,102.02,-57.65
97.29,22.15,102.02,-57.67
97.41,22.15,102.02,-57.71
97.54,22.15,102.02,-57.69
97.66,22.15,102.02,-57.69
97.78,22.15,102.02,-57.66
97.90,22.15,102.02,-57.74
98.01,22.15,102.02,-57.80
98.14,22.15,102.02,-57.88
98.26,22.15,102.02,-57.80
98.38,22.15,102.02,-57.80
98.50,22.15,102.02,-57.74
98.62,22.15,102.02,-57.75
98.74,22.15,102.02,-57.77
98.86,22.15,102.02,-57.74
98.98,22.15,102.02,-57.78
99.10,22.15,102.02,-57.78
99.22,22.15,102.02,-57.77
99.34,22.15,102.02,-57.70
99.46,22.15,102.02,-57.79
99.58,22.15,102.02,-57.76
99.70,22.15,102.02,-57.77
99.82,22.14,102.02,-57.71
99.95,22.14,102.02,-57.64
100.06,22.14,102.02,-57.63
100.18,22.14,102.02,-57.65
100.30,22.14,102.02,-57.59
100.42,22.14,102.02,-57.62
100.55,22.14,102.02,-57.58
100.67,22.14,102.02,-57.61
100.79,22.14,102.02,-57.56
100.90,22.14,102.02,-57.60
101.02,22.14,102.02,-57.57
101.15,22.14,102.02,-57.57
101.27,22.15,102.02,-57.60
101.39,22.15,102.02,-57.60
101.50,22.15,102.02,-57.66
101.62,22.15,102.02,-57.62
101.75,22.15,102.02,-57.62
101.87,22.15,102.02,-57.62
101.99,22.14,102.02,-57.59
102.11,22.14,102.02,-57.65
102.22,22.14,102.02,-57.71
102.35,22.14,102.02,-57.69
102.47,22.14,102.02,-57.69
102.59,22.14,102.02,-57.67
102.71,22.14,102.02,-57.67
102.82,22.14,102.02,-57.68
102.95,22.14,102.02,-57.78
103.07,22.14,102.02,-57.78
103.19,22.14,102.02,-57.78
103.31,22.14,102.02,-57.72
103.43,22.14,102.02,-57.70
103.56,22.14,102.02,-57.79
103.67,22.14,102.02,-57.75
103.79,22.14,102.02,-57.70
103.91,22.14,102.02,-57.71
104.03,22.14,102.02,-57.72
104.16,22.14,102.02,-57.68
104.27,22.14,102.02,-57.65
104.39,22.14,102.02,-57.70
104.51,22.14,102.02,-57.66
104.63,22.14,102.02,-57.63
104.76,22.14,102.02,-57.71
104.88,22.14,102.02,-57.73
105.00,22.14,102.02,-57.75
105.11,22.14,102.02,-57.81
105.23,22.14,102.02,-57.81
105.36,22.14,102.02,-57.82
105.48,22.14,102.02,-57.83
105.60,22.14,102.02,-57.79
105.71,22.14,102.02,-57.85
105.83,22.14,102.02,-57.87
105.96,22.14,102.02,-57.83
106.08,22.14,102.02,-57.83
106.20,22.14,102.02,-57.77
106.32,22.14,102.02,-57.82
106.43,22.14,102.02,-57.84
106.56,22.14,102.02,-57.87
106.68,22.14,102.02,-57.80
106.80,22.14,102.02,-57.84
106.92,22.14,102.02,-57.87
107.04,22.14,102.02,-57.84
107.16,22.14,102.02,-57.86
107.28,22.14,102.02,-57.81
107.40,22.14,102.02,-57.81
107.52,22.14,102.02,-57.77
107.64,22.14,102.02,-57.74
107.77,22.14,102.02,-57.74
107.88,22.14,102.02,-57.71
108.00,22.14,102.02,-57.75
108.12,22.14,102.02,-57.83
108.24,22.14,102.02,-57.83
108.37,22.14,102.02,-57.79
108.49,22.14,102.02,-57.81
108.60,22.14,102.02,-57.77
108.72,22.14,102.02,-57.78
108.84,22.14,102.02,-57.79
108.97,22.14,102.02,-57.76
109.09,22.14,102.02,-57.73
109.21,22.14,102.02,-57.77
109.32,22.14,102.02,-57.71
109.44,22.14,102.02,-57.68
109.57,22.14,102.02,-57.68
109.69,22.14,102.02,-57.60
109.81,22.14,102.02,-57.58
109.93,22.14,102.02,-57.58
110.04,22.14,102.02,-57.60
110.17,22.14,102.02,-57.60
110.29,22.14,102.02,-57.62
110.41,22.14,102.02,-57.65
110.53,22.14,102.02,-57.74
110.64,22.14,102.02,-57.71
110.77,22.14,102.02,-57.74
110.89,22.14,102.02,-57.83
111.01,22.14,102.02,-57.86
111.13,22.14,102.02,-57.79
111.25,22.14,102.02,-57.75
111.37,22.14,102.02,-57.69
111.49,22.14,102.02,-57.73
111.61,22.14,102.02,-57.73
111.73,22.14,102.02,-57.80
111.85,22.14,102.02,-57.78
111.98,22.14,102.02,-57.78
112.09,22.14,102.02,-57.78
112.21,22.14,102.02,-57.80
112.33,22.14,102.02,-57.79
112.45,22.14,102.02,-57.80
112.58,22.14,102.02,-57.81
112.70,22.14,102.02,-57.74
112.81,22.14,102.02,-57.71
112.93,22.14,102.02,-57.77
113.05,22.14,102.02,-57.73
113.18,22.14,102.02,-57.74
113.30,22.14,102.02,-57.73
113.42,22.14,102.02,-57.73
113.53,22.14,102.02,-57.75
113.65,22.14,102.02,-57.80
113.78,22.14,102.02,-57.77
113.90,22.14,102.02,-57.75
114.02,22.14,102.02,-57.71
114.14,22.14,102.02,-57.75
114.25,22.14,102.02,-57.72
114.38,22.14,102.02,-57.71
114.50,22.14,102.02,-57.68
114.62,22.14,102.02,-57.65
114.74,22.14,102.02,-57.67
114.86,22.14,102.02,-57.68
114.98,22.14,102.02,-57.70
115.10,22.14,102.02,-57.68
115.22,22.14,102.02,-57.66
115.34,22.14,102.02,-57.75
115.46,22.14,102.02,-57.77
115.59,22.14,102.02,-57.70
115.70,22.14,102.02,-57.64
115.82,22.14,102.02,-57.73
115.94,22.14,102.02,-57.75
116.06,22.14,102.02,-57.73
116.19,22.14,102.02,-57.68
116.30,22.14,102.02,-57.72
116.42,22.14,102.02,-57.72
116.54,22.13,102.02,-57.71
116.66,22.14,102.02,-57.69
116.79,22.14,102.02,-57.68
116.91,22.14,102.02,-57.66
117.02,22.14,102.02,-57.65
117.14,22.14,102.02,-57.64
117.26,22.14,102.02,-57.69
117.39,22.14,102.02,-57.63
117.51,22.14,102.02,-57.64
117.63,22.14,102.02,-57.64
117.75,22.14,102.02,-57.68
117.86,22.14,102.02,-57.72
117.99,22.14,102.02,-57.68
118.11,22.14,102.02,-57.73
118.23,22.14,102.02,-57.71
118.35,22.14,102.02,-57.74
118.46,22.14,102.02,-57.82
118.59,22.14,102.02,-57.87
118.71,22.14,102.02,-57.84
118.83,22.14,102.02,-57.80
118.95,22.14,102.02,-57.79
119.07,22.14,102.02,-57.86
119.19,22.14,102.02,-57.88
119.31,22.14,102.02,-57.84
119.43,22.14,102.02,-57.82
119.55,22.14,102.02,-57.89
119.67,22.14,102.02,-57.89
119.80,22.14,102.02,-57.88
119.91,22.14,102.02,-57.85
120.03,22.14,102.02,-57.88
120.15,22.14,102.02,-57.95
120.27,22.14,102.02,-57.95
120.40,22.14,102.02,-57.88
120.52,22.14,102.02,-57.92
120.63,22.14,102.02,-57.84
120.75,22.14,102.02,-57.84
120.87,22.14,102.02,-57.93
121.00,22.14,102.02,-57.95
121.12,22.14,102.02,-57.94
121.24,22.14,102.02,-57.92
121.35,22.14,102.02,-57.87
121.47,22.14,102.02,-57.87
121.60,22.14,102.02,-57.86
121.72,22.14,102.02,-57.86
121.84,22.14,102.02,-57.80
121.96,22.14,102.02,-57.76
122.07,22.14,102.02,-57.70
122.20,22.14,102.02,-57.73
122.32,22.14,102.02,-57.72
122.44,22.14,102.02,-57.74
122.56,22.14,102.02,-57.69
122.68,22.14,102.02,-57.72
122.80,22.14,102.02,-57.78
122.92,22.14,102.02,-57.71
123.04,22.14,102.02,-57.63
123.16,22.14,102.02,-57.65
123.28,22.14,102.02,-57.74
123.41,22.14,102.02,-57.74
123.52,22.14,102.02,-57.70
123.64,22.14,102.02,-57.69
123.76,22.14,102.02,-57.66
123.88,22.14,102.02,-57.73
124.01,22.14,102.02,-57.73
124.12,22.14,102.02,-57.80
124.24,22.14,102.02,-57.81
124.36,22.14,102.02,-57.79
124.48,22.14,102.02,-57.79
124.61,22.14,102.02,-57.73
124.73,22.14,102.02,-57.73
124.84,22.14,102.02,-57.78
124.96,22.14,102.02,-57.68
125.08,22.14,102.02,-57.75
125.21,22.14,102.02,-57.72
125.33,22.14,102.02,-57.62
125.45,22.14,102.02,-57.64
125.56,22.14,102.02,-57.74
125.68,22.14,102.02,-57.76
125.81,22.14,102.02,-57.72
125.93,22.14,102.02,-57.69
126.05,22.14,102.02,-57.71
126.17,22.14,102.02,-57.72
126.28,22.14,102.02,-57.69
126.41,22.14,102.02,-57.70
126.53,22.14,102.02,-57.73
126.65,22.14,102.02,-57.75
126.77,22.14,102.02,-57.78
126.88,22.14,102.02,-57.76
127.01,22.14,102.02,-57.73
127.13,22.14,102.02,-57.65
127.25,22.14,102.02,-57.65
127.37,22.14,102.02,-57.63
127.49,22.14,102.02,-57.69
127.62,22.14,102.02,-57.68
127.73,22.14,102.02,-57.71
127.85,22.14,102.02,-57.75
127.97,22.14,102.02,-57.76
128.09,22.14,102.02,-57.79
128.22,22.14,102.02,-57.75
128.34,22.14,102.02,-57.75
128.45,22.14,102.02,-57.74
128.57,22.14,102.02,-57.69
128.69,22.14,102.02,-57.68
128.82,22.14,102.02,-57.68
128.94,22.14,102.02,-57.68
129.05,22.14,102.02,-57.62
129.17,22.14,102.02,-57.58
129.29,22.14,102.02,-57.59
129.42,22.14,102.02,-57.58
129.54,22.14,102.02,-57.64
129.66,22.14,102.02,-57.78
129.77,22.14,102.02,-57.79
129.89,22.14,102.02,-57.77
130.02,22.14,102.02,-57.75
130.14,22.14,102.02,-57.77
130.26,22.14,102.02,-57.81
130.38,22.14,102.02,-57.82
130.50,22.14,102.02,-57.84
130.62,22.14,102.02,-57.77
130.74,22.14,102.02,-57.82
130.86,22.14,102.02,-57.82
130.98,22.14,102.02,-57.78
131.10,22.14,102.02,-57.75
131.23,22.14,102.02,-57.78
131.34,22.14,102.02,-57.77
131.46,22.14,102.02,-57.75
131.58,22.14,102.02,-57.72
131.70,22.14,102.02,-57.75
131.83,22.14,102.02,-57.69
131.95,22.13,102.02,-57.69
132.06,22.13,102.02,-57.73
132.18,22.13,102.02,-57.74
132.30,22.13,102.02,-57.78
132.43,22.13,102.02,-57.79
132.55,22.13,102.02,-57.75
132.66,22.13,102.02,-57.71
132.78,22.13,102.02,-57.73
132.90,22.14,102.02,-57.77
133.03,22.14,102.02,-57.74
133.15,22.14,102.02,-57.64
133.27,22.13,102.02,-57.62
133.38,22.13,102.02,-57.66
133.50,22.13,102.02,-57.71
133.63,22.14,102.02,-57.73
133.75,22.14,102.02,-57.70
133.87,22.14,102.02,-57.75
133.99,22.14,102.02,-57.76
134.10,22.13,102.02,-57.71
134.23,22.13,102.02,-57.72
134.35,22.13,102.02,-57.78
134.47,22.13,102.02,-57.83
134.59,22.13,102.02,-57.87
134.71,22.13,102.02,-57.82
134.83,22.13,102.02,-57.83
134.95,22.13,102.02,-57.81
135.07,22.13,102.02,-57.84
135.19,22.13,102.02,-57.89
135.31,22.13,102.02,-57.86
135.44,22.13,102.02,-57.83
135.55,22.13,102.02,-57.77
135.67,22.13,102.02,-57.75
135.79,22.13,102.02,-57.82
135.91,22.13,102.02,-57.88
136.04,22.13,102.02,-57.83
136.16,22.14,102.02,-57.88
136.27,22.14,102.02,-57.89
136.39,22.14,102.02,-57.85
136.51,22.14,102.02,-57.77
136.64,22.14,102.02,-57.77
136.76,22.14,102.02,-57.78
136.88,22.13,102.02,-57.83
136.99,22.13,102.02,-57.81
137.11,22.13,102.02,-57.86
137.24,22.13,102.02,-57.88
137.36,22.13,102.02,-57.91
137.48,22.14,102.02,-57.93
137.59,22.13,102.02,-57.90
137.71,22.13,102.02,-57.90
137.84,22.14,102.02,-57.83
137.96,22.14,102.02,-57.84
138.08,22.13,102.02,-57.82
138.20,22.13,102.02,-57.82
138.31,22.13,102.02,-57.86
138.44,22.13,102.02,-57.85
138.56,22.13,102.02,-57.87
138.68,22.13,102.02,-57.83
138.80,22.13,102.02,-57.86
138.92,22.13,102.02,-57.91
139.04,22.13,102.02,-57.93
139.16,22.13,102.02,-57.86
139.28,22.13,102.02,-57.83
139.40,22.13,102.02,-57.74
139.52,22.13,102.02,-57.71
139.65,22.13,102.02,-57.75
139.76,22.13,102.02,-57.74
139.88,22.13,102.02,-57.77
140.00,22.13,102.02,-57.77
140.12,22.13,102.02,-57.74
140.25,22.13,102.02,-57.72
140.37,22.14,102.02,-57.83
140.48,22.14,102.02,-57.83
140.60,22.14,102.02,-57.86
140.72,22.14,102.02,-57.78
140.85,22.14,102.02,-57.73
140.97,22.14,102.02,-57.74
141.09,22.14,102.02,-57.74
141.20,22.14,102.02,-57.70
141.32,22.14,102.02,-57.80
141.45,22.14,102.02,-57.77
141.57,22.14,102.02,-57.78
141.69,22.14,102.02,-57.78
141.80,22.14,102.02,-57.82
141.92,22.14,102.02,-57.82
142.05,22.14,102.02,-57.83
142.17,22.14,102.02,-57.84
142.29,22.14,102.02,-57.78
142.41,22.14,102.02,-57.72
142.52,22.14,102.02,-57.73
142.65,22.14,102.02,-57.74
142.77,22.14,102.02,-57.69
142.89,22.14,102.02,-57.69
143.01,22.14,102.02,-57.74
143.13,22.14,102.02,-57.82
143.26,22.14,102.02,-57.81
143.37,22.14,102.02,-57.82
143.49,22.14,102.02,-57.79
143.61,22.14,102.02,-57.79
143.73,22.14,102.02,-57.82
143.86,22.14,102.02,-57.78
143.98,22.14,102.02,-57.75
144.09,22.14,102.02,-57.70
144.21,22.14,102.02,-57.71
144.33,22.14,102.02,-57.74
144.46,22.14,102.02,-57.76
144.58,22.14,102.02,-57.72
144.70,22.13,102.02,-57.74
144.81,22.13,102.02,-57.66
144.93,22.13,102.02,-57.64
145.06,22.13,102.02,-57.74
145.18,22.13,102.02,-57.77
145.30,22.13,102.02,-57.75
145.41,22.13,102.02,-57.70
145.53,22.14,102.02,-57.80
145.66,22.14,102.02,-57.78
145.78,22.14,102.02,-57.76
145.90,22.14,102.02,-57.78
146.02,22.14,102.02,-57.75
146.13,22.13,102.02,-57.79
146.26,22.14,102.02,-57.83
146.38,22.14,102.02,-57.76
146.50,22.14,102.02,-57.77
146.62,22.14,102.02,-57.73
146.74,22.14,102.02,-57.71
146.87,22.14,102.02,-57.73
146.98,22.14,102.02,-57.66
147.10,22.14,102.02,-57.64
147.22,22.14,102.02,-57.62
147.34,22.14,102.02,-57.71
147.47,22.14,102.02,-57.73
147.59,22.14,102.02,-57.74
147.70,22.14,102.02,-57.72
147.82,22.13,102.02,-57.73
147.94,22.13,102.02,-57.69
148.07,22.13,102.02,-57.68
148.19,22.13,102.02,-57.69
148.30,22.13,102.02,-57.68
148.42,22.13,102.02,-57.68
148.54,22.13,102.02,-57.64
148.67,22.13,102.02,-57.70
148.79,22.13,102.02,-57.73
148.91,22.13,102.02,-57.68
149.02,22.13,102.02,-57.71
149.14,22.13,102.02,-57.70
149.27,22.13,102.02,-57.75
149.39,22.13,102.02,-57.65
149.51,22.13,102.02,-57.68
149.63,22.13,102.02,-57.69
149.74,22.13,102.02,-57.63
149.87,22.13,102.02,-57.69
149.99,22.13,102.02,-57.74
150.11,22.13,102.02,-57.82
150.23,22.13,102.02,-57.76
150.35,22.13,102.02,-57.71
150.47,22.13,102.02,-57.67
150.59,22.13,102.02,-57.65
150.71,22.13,102.02,-57.66
150.83,22.13,102.02,-57.77
150.95,22.13,102.02,-57.73
151.08,22.13,102.02,-57.74
151.19,22.13,102.02,-57.68
151.31,22.13,102.02,-57.69
151.43,22.13,102.02,-57.68
151.55,22.13,102.02,-57.71
151.68,22.13,102.02,-57.72
151.79,22.13,102.02,-57.75
151.91,22.13,102.02,-57.76
152.03,22.13,102.02,-57.75
152.15,22.13,102.02,-57.68
152.28,22.13,102.02,-57.63
152.40,22.13,102.02,-57.61
152.51,22.13,102.02,-57.63
152.63,22.13,102.02,-57.60
152.75,22.13,102.02,-57.60
152.88,22.13,102.02,-57.59
153.00,22.13,102.02,-57.57
153.12,22.13,102.02,-57.62
153.23,22.13,102.02,-57.63
153.35,22.13,102.02,-57.68
153.48,22.13,102.02,-57.71
153.60,22.13,102.02,-57.73
153.72,22.13,102.02,-57.72
153.84,22.13,102.02,-57.73
153.95,22.13,102.02,-57.73
154.08,22.13,102.02,-57.70
154.20,22.13,102.02,-57.72
154.32,22.13,102.02,-57.70
154.44,22.13,102.02,-57.73
154.55,22.13,102.02,-57.74
154.68,22.13,102.02,-57.73
154.80,22.13,102.02,-57.70
154.92,22.13,102.02,-57.77
155.04,22.13,102.02,-57.70
155.16,22.13,102.02,-57.80
155.29,22.13,102.02,-57.73
155.40,22.13,102.02,-57.77
155.52,22.13,102.02,-57.75
155.64,22.13,102.02,-57.71
155.76,22.13,102.02,-57.79
155.89,22.13,102.02,-57.71
156.01,22.13,102.02,-57.73
156.12,22.13,102.02,-57.74
156.24,22.13,102.02,-57.72
156.36,22.13,102.02,-57.64
156.49,22.13,102.02,-57.64
156.61,22.13,102.02,-57.65
156.73,22.13,102.02,-57.61
156.84,22.13,102.02,-57.59
156.96,22.13,102.02,-57.54
157.09,22.13,102.02,-57.55
157.21,22.13,102.02,-57.58
157.33,22.13,102.02,-57.60
157.45,22.13,102.02,-57.61
157.56,22.13,102.02,-57.59
157.69,22.13,102.02,-57.65
157.81,22.13,102.02,-57.59
157.93,22.13,102.02,-57.65
158.05,22.13,102.02,-57.65
158.16,22.13,102.02,-57.66
158.29,22.12,102.02,-57.66
158.41,22.12,102.02,-57.60
158.53,22.12,102.02,-57.60
158.65,22.12,102.02,-57.53
158.77,22.12,102.02,-57.60
158.90,22.12,102.02,-57.57
159.01,22.12,102.02,-57.65
159.13,22.12,102.02,-57.72
159.25,22.12,102.02,-57.74
159.37,22.12,102.02,-57.70
159.50,22.12,102.02,-57.67
159.61,22.13,102.02,-57.70
159.73,22.13,102.02,-57.61
159.85,22.12,102.02,-57.62
159.97,22.12,102.02,-57.62
160.10,22.12,102.02,-57.67
160.22,22.12,102.02,-57.69
160.33,22.12,102.02,-57.62
160.45,22.12,102.02,-57.68
160.57,22.13,102.02,-57.65
160.70,22.13,102.02,-57.65
160.82,22.13,102.02,-57.62
160.94,22.13,102.02,-57.61
161.05,22.13,102.02,-57.57
161.17,22.13,102.02,-57.54
161.30,22.13,102.02,-57.56
161.42,22.13,102.02,-57.56
161.54,22.13,102.02,-57.55
161.66,22.13,102.02,-57.55
161.77,22.13,102.02,-57.54
161.90,22.13,102.02,-57.53
162.02,22.13,102.02,-57.58
162.14,22.12,102.02,-57.53
162.26,22.12,102.02,-57.57
162.38,22.12,102.02,-57.54
162.50,22.12,102.02,-57.57
162.62,22.12,102.02,-57.59
162.74,22.12,102.02,-57.66
162.86,22.12,102.02,-57.70
162.98,22.12,102.02,-57.66
163.11,22.12,102.02,-57.69
163.22,22.12,102.02,-57.72
163.34,22.12,102.02,-57.73
163.46,22.12,102.02,-57.73
163.58,22.12,102.02,-57.73
163.71,22.12,102.02,-57.71
163.83,22.13,102.02,-57.70
163.94,22.12,102.02,-57.73
164.06,22.12,102.02,-57.73
164.18,22.12,102.02,-57.74
164.31,22.12,102.02,-57.69
164.43,22.12,102.02,-57.71
164.55,22.12,102.02,-57.71
164.66,22.12,102.02,-57.67
164.78,22.12,102.02,-57.66
164.91,22.12,102.02,-57.76
165.03,22.12,102.02,-57.76
165.15,22.12,102.02,-57.69
165.26,22.12,102.02,-57.71
165.38,22.12,102.02,-57.63
165.51,22.12,102.02,-57.72
165.63,22.12,102.02,-57.67
165.75,22.12,102.02,-57.65
165.87,22.12,102.02,-57.70
165.98,22.12,102.02,-57.77
166.11,22.13,102.02,-57.71
166.23,22.13,102.02,-57.74
166.35,22.13,102.02,-57.72
166.47,22.13,102.02,-57.71
166.59,22.13,102.02,-57.74
166.71,22.14,102.02,-57.72
166.83,22.14,102.02,-57.75
166.95,22.14,102.02,-57.74
167.07,22.14,102.02,-57.70
167.19,22.14,102.02,-57.70
167.32,22.14,102.02,-57.72
167.43,22.15,102.02,-57.82
167.55,22.15,102.02,-57.77
167.67,22.15,102.02,-57.75
167.79,22.15,102.02,-57.71
167.92,22.15,102.02,-57.72
168.04,22.15,102.02,-57.72
168.15,22.15,102.02,-57.73
168.27,22.15,102.02,-57.78
168.39,22.15,102.02,-57.73
168.52,22.15,102.02,-57.71
168.64,22.15,102.02,-57.69
168.76,22.15,102.02,-57.75
168.87,22.15,102.02,-57.71
168.99,22.15,102.02,-57.71
169.12,22.15,102.02,-57.71
169.24,22.15,102.02,-57.69
169.36,22.15,102.02,-57.68
169.47,22.15,102.02,-57.67
169.59,22.15,102.02,-57.69
169.72,22.15,102.02,-57.69
169.84,22.15,102.02,-57.67
169.96,22.15,102.02,-57.66
170.08,22.15,102.02,-57.62
170.19,22.15,102.02,-57.63
170.32,22.15,102.02,-57.54
170.44,22.16,102.02,-57.61
170.56,22.16,102.02,-57.60
170.68,22.16,102.02,-57.64
170.80,22.16,102.02,-57.63
170.92,22.16,102.02,-57.58
171.04,22.16,102.02,-57.61
171.16,22.16,102.02,-57.62
171.28,22.16,102.02,-57.64
171.40,22.16,102.02,-57.65
171.52,22.16,102.02,-57.68
171.64,22.17,102.02,-57.69
171.76,22.17,102.02,-57.66
171.88,22.17,102.02,-57.65
172.00,22.17,102.02,-57.66
172.13,22.17,102.02,-57.65
172.24,22.17,102.02,-57.73
172.36,22.17,102.02,-57.68
172.48,22.17,102.02,-57.72
172.60,22.17,102.02,-57.67
172.73,22.17,102.02,-57.73
172.85,22.17,102.02,-57.69
172.96,22.17,102.02,-57.58
173.08,22.17,102.02,-57.63
173.20,22.17,102.02,-57.65
173.33,22.17,102.02,-57.62
173.45,22.17,102.02,-57.63
173.57,22.17,102.02,-57.63
173.68,22.17,102.02,-57.65
173.80,22.17,102.02,-57.64
173.93,22.17,102.02,-57.70
174.05,22.17,102.02,-57.67
174.17,22.17,102.02,-57.68
174.28,22.17,102.02,-57.64
174.40,22.17,102.02,-57.63
174.53,22.17,102.02,-57.61
174.65,22.17,102.02,-57.66
174.77,22.17,102.02,-57.67
174.89,22.17,102.02,-57.75
175.00,22.17,102.02,-57.75
175.13,22.17,102.02,-57.74
175.25,22.17,102.02,-57.77
175.37,22.18,102.02,-57.77
175.49,22.18,102.02,-57.71
175.61,22.18,102.02,-57.65
175.73,22.18,102.02,-57.68
175.85,22.18,102.02,-57.64
175.97,22.18,102.02,-57.61
176.09,22.18,102.02,-57.64
176.21,22.18,102.02,-57.62
176.34,22.18,102.02,-57.65
176.45,22.18,102.02,-57.61
176.57,22.18,102.02,-57.65
176.69,22.18,102.02,-57.64
176.81,22.18,102.02,-57.75
176.94,22.18,102.02,-57.75
177.05,22.18,102.02,-57.70
177.17,22.18,102.02,-57.69
177.29,22.18,102.02,-57.65
177.41,22.18,102.02,-57.67
177.54,22.18,102.02,-57.64
177.66,22.18,102.02,-57.63
177.77,22.18,102.02,-57.62
177.89,22.18,102.02,-57.60
178.01,22.18,102.02,-57.65
178.14,22.18,102.02,-57.63
178.26,22.18,102.02,-57.65
178.38,22.18,102.02,-57.70
178.49,22.18,102.02,-57.73
178.61,22.18,102.02,-57.70
178.74,22.18,102.02,-57.73
178.86,22.18,102.02,-57.71
178.98,22.18,102.02,-57.79
179.10,22.18,102.02,-57.73
179.21,22.18,102.02,-57.67
179.34,22.18,102.02,-57.55
179.46,22.18,102.02,-57.59
179.58,22.18,102.02,-57.54
179.70,22.18,102.02,-57.58
179.82,22.18,102.02,-57.62
179.94,22.18,102.02,-57.60
180.06,22.18,102.02,-57.59
180.18,22.18,102.02,-57.65
180.30,22.18,102.02,-57.64
180.42,22.18,102.02,-57.59
180.55,22.18,102.02,-57.60
180.66,22.18,102.02,-57.59
180.78,22.18,102.02,-57.53
180.90,22.18,102.02,-57.58
181.02,22.18,102.02,-57.64
181.15,22.18,102.02,-57.69
181.26,22.18,102.02,-57.64
181.38,22.18,102.02,-57.63
181.50,22.18,102.02,-57.59
181.62,22.18,102.02,-57.62
181.75,22.18,102.02,-57.55
181.87,22.18,102.02,-57.59
181.98,22.18,102.02,-57.54
182.10,22.18,102.02,-57.53
182.22,22.18,102.02,-57.61
182.35,22.18,102.02,-57.63
182.47,22.18,102.02,-57.65
182.59,22.18,102.02,-57.70
182.70,22.18,102.02,-57.70
182.82,22.18,102.02,-57.63
182.95,22.18,102.02,-57.73
183.07,22.18,102.02,-57.75
183.19,22.18,102.02,-57.69
183.30,22.18,102.02,-57.66
183.42,22.18,102.02,-57.64
183.55,22.18,102.02,-57.63
183.67,22.18,102.02,-57.62
183.79,22.18,102.02,-57.63
183.91,22.19,102.02,-57.66
BUTTON PRESSED
ZEROED
184.03,22.18,102.02,-57.63
BUTTON PRESSED
184.16,22.19,102.02,-0.05
184.28,22.19,102.02,-0.11
184.39,22.19,102.02,-0.06
184.51,22.19,102.02,-0.04
184.63,22.18,102.02,-0.03
184.76,22.19,102.02,0.02
184.88,22.19,102.02,0.05
185.00,22.19,102.02,-0.03
185.11,22.19,102.02,-0.04
185.23,22.19,102.02,-0.05
185.36,22.19,102.02,-0.04
185.48,22.19,102.02,-0.03
185.60,22.18,102.02,-0.04
185.71,22.18,102.02,0.01
185.83,22.18,102.02,0.04
185.96,22.19,102.02,0.01
186.08,22.19,102.02,0.06
186.20,22.19,102.02,0.02
186.32,22.19,102.02,0.02
186.43,22.19,102.02,0.07
186.56,22.19,102.02,0.03
186.68,22.19,102.02,0.07
186.80,22.19,102.02,-0.02
186.91,22.19,102.02,-0.04
187.03,22.19,102.02,0.03
187.16,22.19,102.02,0.01
187.28,22.19,102.02,-0.06
187.40,22.19,102.02,0.01
187.52,22.19,102.02,0.04
187.63,22.19,102.02,0.08
187.76,22.19,102.02,0.05
187.88,22.19,102.02,0.05
188.00,22.19,102.02,0.06
188.12,22.19,102.02,0.04
188.23,22.19,102.02,0.03
188.36,22.19,102.02,-0.04
188.48,22.19,102.02,-0.03
188.60,22.19,102.02,0.03
188.72,22.19,102.02,0.05
188.83,22.18,102.02,0.05
188.96,22.18,102.02,0.06
189.08,22.18,102.02,0.06
189.20,22.18,102.02,0.01
189.32,22.18,102.02,0.07
189.44,22.19,102.02,0.08
189.56,22.19,102.02,0.09
189.68,22.19,102.02,0.15
189.80,22.18,102.02,0.18
189.92,22.18,102.02,0.11
190.04,22.18,102.02,0.02
190.16,22.18,102.02,-0.01
190.28,22.18,102.02,-0.04
190.40,22.18,102.02,-0.04
190.52,22.18,102.02,-0.03
190.64,22.19,102.02,0.00
190.76,22.18,102.02,0.01
190.88,22.18,102.02,0.07
191.00,22.18,102.02,0.04
191.12,22.18,102.02,0.02
191.24,22.18,102.02,0.01
191.36,22.18,102.02,-0.02
191.48,22.18,102.02,0.02
191.60,22.18,102.02,0.01
191.72,22.18,102.02,0.02
191.84,22.18,102.02,-0.02
191.97,22.18,102.02,-0.02
192.08,22.18,102.02,-0.05
192.20,22.18,102.02,-0.05
192.32,22.18,102.02,-0.04
192.44,22.18,102.02,-0.06
192.57,22.18,102.02,-0.06
192.68,22.19,102.02,-0.04
192.80,22.19,102.02,-0.03
192.92,22.18,102.02,-0.05
193.04,22.18,102.02,-0.03
193.17,22.18,102.02,-0.01
193.29,22.18,102.02,-0.02
193.40,22.18,102.02,0.02
193.52,22.18,102.02,0.03
193.64,22.18,102.02,0.00
193.77,22.18,102.02,0.02
193.88,22.19,102.02,0.02
194.00,22.19,102.02,0.03
194.12,22.19,102.02,0.03
194.24,22.19,102.02,0.03
194.37,22.19,102.02,0.05
194.49,22.19,102.02,0.08
194.60,22.19,102.02,0.05
194.72,22.19,102.02,0.02
194.84,22.18,102.02,0.06
194.97,22.18,102.02,0.02
