=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.14 11:03:16 =~=~=~=~=~=~=~=~=~=~=~=
Adafruit BMP388 / BMP390 test
Temp(C),Press(kPa),CalculatedAlt(m)
21.80,22.19,102.02,-57.96
21.92,22.19,102.02,-57.92
22.04,22.19,102.02,-57.92
22.16,22.19,102.02,-57.87
22.28,22.19,102.02,-57.88
22.40,22.19,102.02,-57.91
22.52,22.19,102.02,-57.88
22.64,22.19,102.02,-57.88
22.76,22.19,102.02,-57.84
22.88,22.19,102.02,-57.85
23.01,22.20,102.02,-57.82
23.12,22.20,102.02,-57.78
23.24,22.20,102.02,-57.75
23.36,22.20,102.02,-57.78
23.48,22.20,102.02,-57.85
23.61,22.20,102.02,-57.81
23.72,22.20,102.02,-57.86
23.84,22.20,102.02,-57.90
23.96,22.19,102.02,-57.96
24.08,22.19,102.02,-57.89
24.21,22.19,102.02,-57.88
24.33,22.19,102.02,-57.89
24.44,22.19,102.02,-57.89
24.56,22.19,102.02,-57.87
24.68,22.19,102.02,-57.86
24.81,22.19,102.02,-57.87
24.93,22.19,102.02,-57.93
25.05,22.19,102.02,-57.91
25.16,22.19,102.02,-57.83
25.28,22.19,102.02,-57.79
25.41,22.19,102.02,-57.77
25.53,22.19,102.02,-57.73
25.65,22.19,102.02,-57.79
25.76,22.19,102.02,-57.81
25.88,22.19,102.02,-57.86
26.01,22.19,102.02,-57.91
26.13,22.19,102.02,-57.91
26.25,22.19,102.02,-57.88
26.36,22.19,102.02,-57.86
26.48,22.19,102.02,-57.87
26.61,22.19,102.02,-57.79
26.73,22.19,102.02,-57.84
26.85,22.19,102.02,-57.90
26.97,22.19,102.02,-57.82
27.08,22.19,102.02,-57.89
27.21,22.19,102.02,-57.90
27.33,22.19,102.02,-57.88
27.45,22.19,102.02,-57.88
27.57,22.19,102.02,-57.86
27.68,22.19,102.02,-57.87
27.81,22.19,102.02,-57.93
27.93,22.19,102.02,-57.92
28.05,22.19,102.02,-57.99
28.17,22.19,102.02,-57.97
28.29,22.19,102.02,-57.98
28.42,22.19,102.02,-57.98
28.53,22.19,102.02,-57.91
28.65,22.19,102.02,-57.90
28.77,22.19,102.02,-57.86
28.89,22.19,102.02,-57.81
29.02,22.19,102.02,-57.84
29.13,22.19,102.02,-57.87
29.25,22.19,102.02,-57.87
29.37,22.19,102.02,-57.83
29.49,22.19,102.02,-57.82
29.62,22.19,102.02,-57.88
29.73,22.19,102.02,-57.92
29.85,22.19,102.02,-57.88
29.97,22.19,102.02,-57.88
30.09,22.19,102.02,-57.96
30.22,22.19,102.02,-57.99
30.34,22.19,102.02,-57.97
30.45,22.19,102.02,-57.89
30.57,22.19,102.02,-57.86
30.69,22.19,102.02,-57.84
30.82,22.19,102.02,-57.84
30.94,22.19,102.02,-57.82
31.06,22.19,102.02,-57.85
31.17,22.19,102.02,-57.83
31.29,22.19,102.02,-57.88
31.42,22.19,102.02,-57.92
31.54,22.19,102.02,-57.93
31.66,22.19,102.02,-57.90
31.77,22.19,102.02,-57.92
31.89,22.19,102.02,-57.90
32.02,22.19,102.02,-57.92
32.14,22.19,102.02,-57.96
32.26,22.20,102.02,-57.88
32.38,22.19,102.02,-57.91
32.49,22.19,102.02,-57.95
32.62,22.20,102.02,-57.90
32.74,22.20,102.02,-57.88
32.86,22.19,102.02,-57.89
32.98,22.19,102.02,-57.88
33.10,22.19,102.02,-57.94
33.22,22.19,102.02,-57.91
33.34,22.19,102.02,-57.82
33.46,22.19,102.02,-57.85
33.58,22.19,102.02,-57.81
33.70,22.19,102.02,-57.82
33.83,22.19,102.02,-57.88
33.94,22.19,102.02,-57.90
34.06,22.19,102.02,-57.90
34.18,22.19,102.02,-57.83
34.30,22.19,102.02,-57.89
34.43,22.19,102.02,-57.84
34.54,22.19,102.02,-57.86
34.66,22.19,102.02,-57.87
34.78,22.19,102.02,-57.85
34.90,22.19,102.02,-57.85
35.03,22.19,102.02,-57.87
35.15,22.19,102.02,-57.91
35.26,22.19,102.02,-57.92
35.38,22.19,102.02,-57.95
35.50,22.19,102.02,-57.91
35.63,22.19,102.02,-57.86
35.75,22.19,102.02,-57.90
35.87,22.19,102.02,-57.92
35.98,22.19,102.02,-57.98
36.10,22.19,102.02,-58.00
36.23,22.19,102.02,-57.97
36.35,22.19,102.02,-57.93
36.47,22.19,102.02,-57.90
36.58,22.19,102.02,-57.91
36.70,22.19,102.02,-57.86
36.83,22.19,102.02,-57.83
36.95,22.19,102.02,-57.87
37.07,22.19,102.02,-57.84
37.19,22.19,102.02,-57.86
37.30,22.19,102.02,-57.89
37.43,22.19,102.02,-57.86
37.55,22.19,102.02,-57.88
37.67,22.19,102.02,-57.90
37.79,22.19,102.02,-57.86
37.90,22.19,102.02,-57.91
38.03,22.19,102.02,-57.89
38.15,22.19,102.02,-57.87
38.27,22.19,102.02,-57.83
38.39,22.19,102.02,-57.85
38.51,22.19,102.02,-57.88
38.63,22.19,102.02,-57.88
38.75,22.19,102.02,-57.83
38.87,22.19,102.02,-57.86
38.99,22.19,102.02,-57.86
39.11,22.19,102.02,-57.89
39.24,22.19,102.02,-57.80
39.35,22.19,102.02,-57.79
39.47,22.19,102.02,-57.78
39.59,22.19,102.02,-57.78
39.71,22.19,102.02,-57.81
39.84,22.19,102.02,-57.80
39.95,22.19,102.02,-57.79
40.07,22.19,102.02,-57.78
40.19,22.19,102.02,-57.75
40.31,22.19,102.02,-57.80
40.44,22.19,102.02,-57.81
40.56,22.19,102.02,-57.77
40.67,22.19,102.02,-57.76
40.79,22.19,102.02,-57.77
40.91,22.19,102.02,-57.80
41.04,22.19,102.02,-57.81
41.16,22.19,102.02,-57.86
41.28,22.19,102.02,-57.80
41.39,22.19,102.02,-57.83
41.51,22.19,102.02,-57.83
41.64,22.19,102.02,-57.84
41.76,22.19,102.02,-57.82
41.88,22.19,102.02,-57.85
41.99,22.19,102.02,-57.90
42.11,22.19,102.02,-57.84
42.24,22.19,102.02,-57.84
42.36,22.19,102.02,-57.83
42.48,22.19,102.02,-57.81
42.60,22.19,102.02,-57.79
42.71,22.19,102.02,-57.83
42.84,22.18,102.02,-57.81
42.96,22.18,102.02,-57.79
43.08,22.18,102.02,-57.79
43.20,22.18,102.02,-57.79
43.31,22.18,102.02,-57.79
43.44,22.18,102.02,-57.75
43.56,22.18,102.02,-57.75
43.68,22.18,102.02,-57.81
43.80,22.18,102.02,-57.85
43.92,22.18,102.02,-57.86
44.04,22.18,102.02,-57.84
44.16,22.19,102.02,-57.85
44.28,22.18,102.02,-57.84
44.40,22.19,102.02,-57.83
44.52,22.19,102.02,-57.82
44.65,22.19,102.02,-57.80
44.76,22.19,102.02,-57.83
44.88,22.19,102.02,-57.81
45.00,22.19,102.02,-57.81
45.12,22.19,102.02,-57.78
45.25,22.19,102.02,-57.74
45.36,22.19,102.02,-57.72
45.48,22.18,102.02,-57.82
45.60,22.19,102.02,-57.82
45.72,22.18,102.02,-57.81
45.85,22.18,102.02,-57.80
45.97,22.18,102.02,-57.78
46.08,22.18,102.02,-57.78
46.20,22.18,102.02,-57.77
46.32,22.18,102.02,-57.82
46.45,22.18,102.02,-57.87
46.57,22.18,102.02,-57.86
46.69,22.18,102.02,-57.91
46.80,22.18,102.02,-57.91
46.92,22.18,102.02,-57.87
47.05,22.18,102.02,-57.88
47.17,22.18,102.02,-57.88
47.29,22.18,102.02,-57.87
47.40,22.18,102.02,-57.90
47.52,22.18,102.02,-57.94
47.65,22.18,102.02,-57.95
47.77,22.18,102.02,-57.89
47.89,22.18,102.02,-57.88
48.01,22.18,102.02,-57.92
48.12,22.18,102.02,-57.96
48.25,22.18,102.02,-58.01
48.37,22.19,102.02,-57.96
48.49,22.18,102.02,-57.94
48.61,22.18,102.02,-58.03
48.72,22.19,102.02,-57.97
48.85,22.19,102.02,-58.02
48.97,22.19,102.02,-58.01
49.09,22.19,102.02,-57.96
49.21,22.18,102.02,-57.92
49.33,22.18,102.02,-57.93
49.45,22.18,102.02,-58.00
49.57,22.18,102.02,-58.00
49.69,22.18,102.02,-57.99
49.81,22.18,102.02,-58.05
49.93,22.18,102.02,-58.05
50.06,22.18,102.02,-57.98
50.17,22.18,102.02,-57.95
50.29,22.18,102.02,-57.99
50.41,22.18,102.02,-57.97
50.53,22.18,102.02,-58.02
50.66,22.18,102.02,-58.02
50.77,22.18,102.02,-58.05
50.89,22.18,102.02,-58.05
51.01,22.19,102.02,-58.09
51.13,22.19,102.02,-58.03
51.26,22.19,102.02,-57.99
51.38,22.19,102.02,-58.01
51.49,22.18,102.02,-57.98
51.61,22.18,102.02,-57.99
51.73,22.18,102.02,-57.92
51.86,22.18,102.02,-57.88
51.98,22.19,102.02,-57.84
52.09,22.18,102.02,-57.79
52.21,22.18,102.02,-57.91
52.33,22.18,102.02,-57.80
52.46,22.18,102.02,-57.82
52.58,22.18,102.02,-57.82
52.70,22.18,102.02,-57.82
52.81,22.18,102.02,-57.83
52.93,22.18,102.02,-57.93
53.06,22.18,102.02,-57.87
53.18,22.18,102.02,-57.90
53.30,22.18,102.02,-57.83
53.41,22.18,102.02,-57.86
53.53,22.18,102.02,-57.83
53.66,22.18,102.02,-57.80
53.78,22.18,102.02,-57.81
53.90,22.18,102.02,-57.80
54.02,22.18,102.02,-57.83
54.13,22.18,102.02,-57.84
54.26,22.18,102.02,-57.80
54.38,22.18,102.02,-57.74
54.50,22.18,102.02,-57.81
54.62,22.18,102.02,-57.81
54.74,22.18,102.02,-57.82
54.86,22.18,102.02,-57.80
54.98,22.18,102.02,-57.81
55.10,22.18,102.02,-57.75
55.22,22.18,102.02,-57.79
55.34,22.18,102.02,-57.81
55.46,22.18,102.02,-57.73
55.58,22.18,102.02,-57.78
55.70,22.18,102.02,-57.81
55.82,22.18,102.02,-57.74
55.94,22.18,102.02,-57.78
56.07,22.18,102.02,-57.77
56.18,22.18,102.02,-57.82
56.30,22.18,102.02,-57.78
56.42,22.18,102.02,-57.75
56.54,22.18,102.02,-57.79
56.67,22.18,102.02,-57.76
56.78,22.18,102.02,-57.74
56.90,22.18,102.02,-57.75
57.02,22.18,102.02,-57.68
57.14,22.18,102.02,-57.77
57.27,22.18,102.02,-57.70
57.38,22.19,102.02,-57.74
57.50,22.18,102.02,-57.82
57.62,22.18,102.02,-57.82
57.74,22.19,102.02,-57.74
57.87,22.19,102.02,-57.77
57.99,22.19,102.02,-57.82
58.11,22.19,102.02,-57.82
58.22,22.19,102.02,-57.76
58.34,22.19,102.02,-57.75
58.47,22.19,102.02,-57.73
58.59,22.19,102.02,-57.77
58.71,22.19,102.02,-57.88
58.82,22.19,102.02,-57.84
58.94,22.19,102.02,-57.89
59.07,22.18,102.02,-57.95
59.19,22.18,102.02,-57.90
59.31,22.18,102.02,-57.91
59.43,22.18,102.02,-57.87
59.54,22.18,102.02,-57.82
59.67,22.18,102.02,-57.82
59.79,22.18,102.02,-57.78
59.91,22.18,102.02,-57.77
60.03,22.18,102.02,-57.73
60.15,22.18,102.02,-57.78
60.27,22.18,102.02,-57.81
60.39,22.18,102.02,-57.74
60.51,22.18,102.02,-57.77
60.63,22.18,102.02,-57.69
60.75,22.18,102.02,-57.73
60.87,22.18,102.02,-57.78
60.99,22.18,102.02,-57.81
61.11,22.18,102.02,-57.82
61.23,22.18,102.02,-57.78
61.35,22.18,102.02,-57.81
61.47,22.18,102.02,-57.84
61.59,22.18,102.02,-57.81
61.71,22.18,102.02,-57.86
61.83,22.18,102.02,-57.84
61.95,22.18,102.02,-57.86
62.08,22.18,102.02,-57.91
62.19,22.18,102.02,-57.89
62.31,22.18,102.02,-57.87
62.43,22.18,102.02,-57.83
62.55,22.18,102.02,-57.79
62.68,22.18,102.02,-57.76
62.79,22.18,102.02,-57.74
62.91,22.18,102.02,-57.76
63.03,22.18,102.02,-57.72
63.15,22.18,102.02,-57.76
63.28,22.18,102.02,-57.77
63.40,22.18,102.02,-57.83
63.52,22.18,102.02,-57.81
63.63,22.18,102.02,-57.87
63.75,22.18,102.02,-57.78
63.88,22.18,102.02,-57.86
64.00,22.18,102.02,-57.84
64.12,22.18,102.02,-57.86
64.23,22.18,102.02,-57.84
64.35,22.18,102.02,-57.87
64.48,22.18,102.02,-57.92
64.60,22.18,102.02,-57.97
64.72,22.18,102.02,-57.93
64.83,22.18,102.02,-57.93
64.95,22.18,102.02,-57.96
65.08,22.18,102.02,-57.96
65.20,22.18,102.02,-57.95
65.32,22.18,102.02,-57.89
65.44,22.18,102.02,-57.92
65.55,22.18,102.02,-57.92
65.68,22.18,102.02,-57.91
65.80,22.18,102.02,-57.93
65.92,22.18,102.02,-57.85
66.04,22.18,102.02,-57.87
66.16,22.18,102.02,-57.88
66.28,22.17,102.02,-57.85
66.40,22.17,102.02,-57.88
66.52,22.17,102.02,-57.84
66.64,22.17,102.02,-57.78
66.76,22.18,102.02,-57.81
66.88,22.18,102.02,-57.82
67.00,22.18,102.02,-57.82
67.12,22.18,102.02,-57.90
67.24,22.18,102.02,-57.86
67.36,22.18,102.02,-57.80
67.49,22.18,102.02,-57.80
67.60,22.18,102.02,-57.75
67.72,22.18,102.02,-57.73
67.84,22.18,102.02,-57.74
67.96,22.18,102.02,-57.81
68.09,22.18,102.02,-57.84
68.20,22.18,102.02,-57.83
68.32,22.18,102.02,-57.84
68.44,22.18,102.02,-57.87
68.56,22.18,102.02,-57.84
68.69,22.18,102.02,-57.79
68.81,22.18,102.02,-57.79
68.93,22.18,102.02,-57.80
69.04,22.18,102.02,-57.74
69.16,22.18,102.02,-57.72
69.29,22.18,102.02,-57.76
69.41,22.18,102.02,-57.85
69.53,22.18,102.02,-57.83
69.64,22.18,102.02,-57.83
69.76,22.18,102.02,-57.96
69.89,22.18,102.02,-57.92
70.01,22.18,102.02,-57.90
70.13,22.18,102.02,-57.84
70.25,22.18,102.02,-57.80
70.36,22.17,102.02,-57.79
70.49,22.17,102.02,-57.78
70.61,22.17,102.02,-57.70
70.73,22.17,102.02,-57.70
70.85,22.17,102.02,-57.71
70.96,22.17,102.02,-57.70
71.09,22.17,102.02,-57.68
71.21,22.17,102.02,-57.69
71.33,22.17,102.02,-57.74
71.45,22.17,102.02,-57.74
71.57,22.17,102.02,-57.74
71.69,22.17,102.02,-57.71
71.81,22.17,102.02,-57.80
71.93,22.17,102.02,-57.81
72.05,22.17,102.02,-57.73
72.17,22.17,102.02,-57.80
72.29,22.17,102.02,-57.87
72.41,22.17,102.02,-57.88
72.53,22.17,102.02,-57.90
72.65,22.17,102.02,-57.95
72.77,22.17,102.02,-57.96
72.90,22.17,102.02,-57.90
73.01,22.17,102.02,-57.89
73.13,22.17,102.02,-57.83
73.25,22.17,102.02,-57.87
73.37,22.17,102.02,-57.81
73.50,22.17,102.02,-57.79
73.61,22.17,102.02,-57.83
73.73,22.17,102.02,-57.86
73.85,22.17,102.02,-57.83
73.97,22.17,102.02,-57.78
74.10,22.17,102.02,-57.82
74.22,22.17,102.02,-57.79
